"Plot Title: DRYAS_11C_Soil"
"#","Date Time, GMT-07:00","Temp, °C (LGR S/N: 20547755, SEN S/N: 20547755, LBL: -5cm_soil)","Host Connected (LGR S/N: 20547755)","Coupler Attached (LGR S/N: 20547755)","Stopped (LGR S/N: 20547755)","End Of File (LGR S/N: 20547755)"
158,07/05/22 10:30:00  PM,7.280,,,,
159,07/05/22 11:00:00  PM,7.079,,,,
160,07/05/22 11:30:00  PM,6.877,,,,
161,07/06/22 12:00:00  AM,6.775,,,,
162,07/06/22 12:30:00  AM,6.573,,,,
163,07/06/22 01:00:00  AM,6.370,,,,
164,07/06/22 01:30:00  AM,6.370,,,,
165,07/06/22 02:00:00  AM,6.268,,,,
166,07/06/22 02:30:00  AM,6.268,,,,
167,07/06/22 03:00:00  AM,6.166,,,,
168,07/06/22 03:30:00  AM,6.166,,,,
169,07/06/22 04:00:00  AM,6.166,,,,
170,07/06/22 04:30:00  AM,6.166,,,,
171,07/06/22 05:00:00  AM,6.166,,,,
172,07/06/22 05:30:00  AM,6.166,,,,
173,07/06/22 06:00:00  AM,6.166,,,,
174,07/06/22 06:30:00  AM,5.962,,,,
175,07/06/22 07:00:00  AM,5.757,,,,
176,07/06/22 07:30:00  AM,5.552,,,,
177,07/06/22 08:00:00  AM,5.552,,,,
178,07/06/22 08:30:00  AM,5.552,,,,
179,07/06/22 09:00:00  AM,5.552,,,,
180,07/06/22 09:30:00  AM,5.552,,,,
181,07/06/22 10:00:00  AM,5.655,,,,
182,07/06/22 10:30:00  AM,5.757,,,,
183,07/06/22 11:00:00  AM,5.962,,,,
184,07/06/22 11:30:00  AM,6.166,,,,
185,07/06/22 12:00:00  PM,6.166,,,,
186,07/06/22 12:30:00  PM,6.268,,,,
187,07/06/22 01:00:00  PM,6.370,,,,
188,07/06/22 01:30:00  PM,6.268,,,,
189,07/06/22 02:00:00  PM,6.268,,,,
190,07/06/22 02:30:00  PM,6.268,,,,
191,07/06/22 03:00:00  PM,6.471,,,,
192,07/06/22 03:30:00  PM,6.674,,,,
193,07/06/22 04:00:00  PM,6.775,,,,
194,07/06/22 04:30:00  PM,6.877,,,,
195,07/06/22 05:00:00  PM,6.877,,,,
196,07/06/22 05:30:00  PM,6.775,,,,
197,07/06/22 06:00:00  PM,6.775,,,,
198,07/06/22 06:30:00  PM,6.775,,,,
199,07/06/22 07:00:00  PM,6.674,,,,
200,07/06/22 07:30:00  PM,6.674,,,,
201,07/06/22 08:00:00  PM,6.674,,,,
202,07/06/22 08:30:00  PM,6.573,,,,
203,07/06/22 09:00:00  PM,6.471,,,,
204,07/06/22 09:30:00  PM,6.268,,,,
205,07/06/22 10:00:00  PM,6.166,,,,
206,07/06/22 10:30:00  PM,5.962,,,,
207,07/06/22 11:00:00  PM,5.860,,,,
208,07/06/22 11:30:00  PM,5.757,,,,
209,07/07/22 12:00:00  AM,5.655,,,,
210,07/07/22 12:30:00  AM,5.655,,,,
211,07/07/22 01:00:00  AM,5.552,,,,
212,07/07/22 01:30:00  AM,5.450,,,,
213,07/07/22 02:00:00  AM,5.347,,,,
214,07/07/22 02:30:00  AM,5.347,,,,
215,07/07/22 03:00:00  AM,5.347,,,,
216,07/07/22 03:30:00  AM,5.450,,,,
217,07/07/22 04:00:00  AM,5.450,,,,
218,07/07/22 04:30:00  AM,5.655,,,,
219,07/07/22 05:00:00  AM,5.655,,,,
220,07/07/22 05:30:00  AM,5.552,,,,
221,07/07/22 06:00:00  AM,5.655,,,,
222,07/07/22 06:30:00  AM,5.757,,,,
223,07/07/22 07:00:00  AM,5.962,,,,
224,07/07/22 07:30:00  AM,6.064,,,,
225,07/07/22 08:00:00  AM,6.268,,,,
226,07/07/22 08:30:00  AM,6.573,,,,
227,07/07/22 09:00:00  AM,6.775,,,,
228,07/07/22 09:30:00  AM,7.079,,,,
229,07/07/22 10:00:00  AM,7.381,,,,
230,07/07/22 10:30:00  AM,7.582,,,,
231,07/07/22 11:00:00  AM,7.782,,,,
232,07/07/22 11:30:00  AM,8.182,,,,
233,07/07/22 12:00:00  PM,8.481,,,,
234,07/07/22 12:30:00  PM,8.879,,,,
235,07/07/22 01:00:00  PM,9.275,,,,
236,07/07/22 01:30:00  PM,9.571,,,,
237,07/07/22 02:00:00  PM,9.866,,,,
238,07/07/22 02:30:00  PM,10.063,,,,
239,07/07/22 03:00:00  PM,10.259,,,,
240,07/07/22 03:30:00  PM,10.455,,,,
241,07/07/22 04:00:00  PM,10.553,,,,
242,07/07/22 04:30:00  PM,10.748,,,,
243,07/07/22 05:00:00  PM,10.748,,,,
244,07/07/22 05:30:00  PM,10.748,,,,
245,07/07/22 06:00:00  PM,10.748,,,,
246,07/07/22 06:30:00  PM,10.846,,,,
247,07/07/22 07:00:00  PM,10.651,,,,
248,07/07/22 07:30:00  PM,10.553,,,,
249,07/07/22 08:00:00  PM,10.357,,,,
250,07/07/22 08:30:00  PM,9.965,,,,
251,07/07/22 09:00:00  PM,9.373,,,,
