"Plot Title: DRYAS_14T_Soil"
"#","Date Time, GMT-07:00","Temp, °C (LGR S/N: 10139941, SEN S/N: 10139941, LBL: -5cm_soil)","Good Battery (LGR S/N: 10139941)","Coupler Attached (LGR S/N: 10139941)","Host Connected (LGR S/N: 10139941)","Stopped (LGR S/N: 10139941)","End Of File (LGR S/N: 10139941)"
247,07/05/22 05:30:00  AM,4.519,,,,,
248,07/05/22 05:45:00  AM,4.519,,,,,
249,07/05/22 06:00:00  AM,4.623,,,,,
250,07/05/22 06:15:00  AM,4.727,,,,,
251,07/05/22 06:30:00  AM,4.727,,,,,
252,07/05/22 06:45:00  AM,4.831,,,,,
253,07/05/22 07:00:00  AM,4.831,,,,,
254,07/05/22 07:15:00  AM,4.934,,,,,
255,07/05/22 07:30:00  AM,4.934,,,,,
256,07/05/22 07:45:00  AM,5.037,,,,,
257,07/05/22 08:00:00  AM,5.037,,,,,
258,07/05/22 08:15:00  AM,5.141,,,,,
259,07/05/22 08:30:00  AM,5.141,,,,,
260,07/05/22 08:45:00  AM,5.141,,,,,
261,07/05/22 09:00:00  AM,5.244,,,,,
262,07/05/22 09:15:00  AM,5.244,,,,,
263,07/05/22 09:30:00  AM,5.347,,,,,
264,07/05/22 09:45:00  AM,5.552,,,,,
265,07/05/22 10:00:00  AM,5.655,,,,,
266,07/05/22 10:15:00  AM,5.757,,,,,
267,07/05/22 10:30:00  AM,5.962,,,,,
268,07/05/22 10:45:00  AM,6.064,,,,,
269,07/05/22 11:00:00  AM,6.268,,,,,
270,07/05/22 11:15:00  AM,6.573,,,,,
271,07/05/22 11:30:00  AM,6.674,,,,,
272,07/05/22 11:45:00  AM,6.877,,,,,
273,07/05/22 12:00:00  PM,7.079,,,,,
274,07/05/22 12:15:00  PM,7.179,,,,,
275,07/05/22 12:30:00  PM,7.381,,,,,
276,07/05/22 12:45:00  PM,7.582,,,,,
277,07/05/22 01:00:00  PM,7.782,,,,,
278,07/05/22 01:15:00  PM,7.983,,,,,
279,07/05/22 01:30:00  PM,8.182,,,,,
280,07/05/22 01:45:00  PM,8.382,,,,,
281,07/05/22 02:00:00  PM,8.581,,,,,
282,07/05/22 02:15:00  PM,8.680,,,,,
283,07/05/22 02:30:00  PM,8.779,,,,,
284,07/05/22 02:45:00  PM,8.978,,,,,
285,07/05/22 03:00:00  PM,9.077,,,,,
286,07/05/22 03:15:00  PM,9.077,,,,,
287,07/05/22 03:30:00  PM,9.176,,,,,
288,07/05/22 03:45:00  PM,9.275,,,,,
289,07/05/22 04:00:00  PM,9.176,,,,,
290,07/05/22 04:15:00  PM,9.077,,,,,
291,07/05/22 04:30:00  PM,8.978,,,,,
292,07/05/22 04:45:00  PM,8.978,,,,,
293,07/05/22 05:00:00  PM,8.978,,,,,
294,07/05/22 05:15:00  PM,8.879,,,,,
295,07/05/22 05:30:00  PM,8.779,,,,,
296,07/05/22 05:45:00  PM,8.680,,,,,
297,07/05/22 06:00:00  PM,8.581,,,,,
298,07/05/22 06:15:00  PM,8.481,,,,,
299,07/05/22 06:30:00  PM,8.382,,,,,
300,07/05/22 06:45:00  PM,8.282,,,,,
301,07/05/22 07:00:00  PM,8.082,,,,,
302,07/05/22 07:15:00  PM,7.983,,,,,
303,07/05/22 07:30:00  PM,7.782,,,,,
304,07/05/22 07:45:00  PM,7.682,,,,,
305,07/05/22 08:00:00  PM,7.481,,,,,
306,07/05/22 08:15:00  PM,7.381,,,,,
307,07/05/22 08:30:00  PM,7.280,,,,,
308,07/05/22 08:45:00  PM,7.079,,,,,
309,07/05/22 09:00:00  PM,6.978,,,,,
