site,plot,treatment,light,year,DOY,hhmm,ss.s,battery_V,CO2_v,CO2_ppm,H2O_v,H2O_ppt,T_panel,T_soil,T_air
WILL,NA,NA,NA,+2022.  ,+208.   ,+1159.  ,+47.2   ,+11.861 ,+1.9406 ,+388.12,+.66799 ,+10.688 ,+19.621 ,+14.209 ,+17.273 
WILL,NA,NA,NA,+2022.  ,+208.   ,+1159.  ,+48.2   ,+11.429 ,+1.9319 ,+386.38,+.66314 ,+10.610 ,+19.634 ,+14.135 ,+17.251 
WILL,NA,NA,NA,+2022.  ,+208.   ,+1159.  ,+49.2   ,+11.756 ,+1.9555 ,+391.10,+.68185 ,+10.910 ,+19.634 ,+14.066 ,+17.251 
WILL,NA,NA,NA,+2022.  ,+208.   ,+1159.  ,+50.2   ,+11.531 ,+1.9375 ,+387.49,+.67215 ,+10.754 ,+19.646 ,+14.027 ,+17.229 
WILL,NA,NA,NA,+2022.  ,+208.   ,+1159.  ,+51.2   ,+11.465 ,+1.9548 ,+390.96,+.68393 ,+10.943 ,+19.636 ,+13.931 ,+17.219 
WILL,NA,NA,NA,+2022.  ,+208.   ,+1159.  ,+52.2   ,+11.432 ,+1.9285 ,+385.69,+.68255 ,+10.921 ,+19.659 ,+13.902 ,+17.242 
WILL,NA,NA,NA,+2022.  ,+208.   ,+1159.  ,+53.2   ,+11.471 ,+1.9312 ,+386.24,+.68740 ,+10.998 ,+19.648 ,+13.823 ,+17.197 
WILL,NA,NA,NA,+2022.  ,+208.   ,+1159.  ,+54.2   ,+11.515 ,+1.9295 ,+385.90,+.69155 ,+11.065 ,+19.661 ,+13.749 ,+17.210 
WILL,NA,NA,NA,+2022.  ,+208.   ,+1159.  ,+55.2   ,+11.457 ,+1.9333 ,+386.66,+.69710 ,+11.154 ,+19.661 ,+13.680 ,+17.210 
WILL,NA,NA,NA,+2022.  ,+208.   ,+1159.  ,+56.2   ,+11.520 ,+1.9305 ,+386.11,+.70160 ,+11.226 ,+19.661 ,+13.611 ,+17.175 
WILL,NA,NA,NA,+2022.  ,+208.   ,+1159.  ,+57.2   ,+11.646 ,+1.9298 ,+385.97,+.70437 ,+11.270 ,+19.684 ,+13.565 ,+17.198 
