site,plot,treatment,light,X1,year,DOY,hhmm,ss.s,battery_V,CO2_v,CO2_ppm,H2O_v,H2O_ppt,T_panel,T_soil,T_air,X14,X15
MEAD,NA,NA,NA,+120.0  ,+2022.  ,+195.   ,+1555.  ,+17.2   ,+11.661 ,+2.0289 ,+405.79,+.44783 ,+7.1653 ,+15.339 ,+5.9350 ,-39.630 ,+0.0000 ,+0.0000
MEAD,NA,NA,NA,+120.0  ,+2022.  ,+195.   ,+1555.  ,+18.2   ,+11.472 ,+2.0227 ,+404.54,+.44367 ,+7.0988 ,+15.339 ,+5.9334 ,-68.572 ,+0.0000 ,+0.0000
MEAD,NA,NA,NA,+120.0  ,+2022.  ,+195.   ,+1555.  ,+19.2   ,+11.667 ,+2.0227 ,+404.54,+.44745 ,+7.1592 ,+15.339 ,+5.9342 ,-61.191 ,+0.0000 ,+0.0000
MEAD,NA,NA,NA,+120.0  ,+2022.  ,+195.   ,+1555.  ,+20.2   ,+11.513 ,+2.0276 ,+405.51,+.44995 ,+7.1992 ,+15.339 ,+5.9517 ,-75.611 ,+0.0000 ,+0.0000
MEAD,NA,NA,NA,+120.0  ,+2022.  ,+195.   ,+1555.  ,+21.2   ,+11.703 ,+2.0283 ,+405.65,+.44853 ,+7.1764 ,+15.339 ,+5.9167 ,-53.269 ,+0.0000 ,+0.0000
MEAD,NA,NA,NA,+120.0  ,+2022.  ,+195.   ,+1555.  ,+22.2   ,+11.521 ,+2.0165 ,+403.29,+.45546 ,+7.2873 ,+15.327 ,+5.9223 ,-60.112 ,+0.0000 ,+0.0000
MEAD,NA,NA,NA,+120.0  ,+2022.  ,+195.   ,+1555.  ,+23.2   ,+11.785 ,+2.0213 ,+404.26,+.45165 ,+7.2263 ,+15.327 ,+5.9223 ,-77.299 ,+0.0000 ,+0.0000
MEAD,NA,NA,NA,+120.0  ,+2022.  ,+195.   ,+1555.  ,+24.2   ,+11.590 ,+2.0236 ,+404.71,+.45269 ,+7.2430 ,+15.327 ,+5.9223 ,-71.405 ,+0.0000 ,+0.0000
MEAD,NA,NA,NA,+120.0  ,+2022.  ,+195.   ,+1555.  ,+25.2   ,+11.788 ,+2.0224 ,+404.47,+.45407 ,+7.2652 ,+15.327 ,+5.9223 ,-85.124 ,+0.0000 ,+0.0000
MEAD,NA,NA,NA,+120.0  ,+2022.  ,+195.   ,+1555.  ,+26.2   ,+11.499 ,+2.0248 ,+404.96,+.45962 ,+7.3539 ,+15.327 ,+5.9398 ,-61.915 ,+0.0000 ,+0.0000
MEAD,NA,NA,NA,+120.0  ,+2022.  ,+195.   ,+1555.  ,+27.2   ,+11.749 ,+2.0196 ,+403.92,+.45893 ,+7.3428 ,+15.327 ,+5.9223 ,-69.076 ,+0.0000 ,+0.0000
MEAD,NA,NA,NA,+120.0  ,+2022.  ,+195.   ,+1555.  ,+28.2   ,+11.554 ,+2.0255 ,+405.09,+.45750 ,+7.3200 ,+15.327 ,+5.9223 ,-64.034 ,+0.0000 ,+0.0000
MEAD,NA,NA,NA,+120.0  ,+2022.  ,+195.   ,+1555.  ,+29.2   ,+11.716 ,+2.0206 ,+404.12,+.46239 ,+7.3983 ,+15.327 ,+5.9049 ,-74.044 ,+0.0000 ,+0.0000
MEAD,NA,NA,NA,+120.0  ,+2022.  ,+195.   ,+1555.  ,+30.2   ,+11.579 ,+2.0153 ,+403.05,+.46235 ,+7.3976 ,+15.327 ,+5.9223 ,-71.050 ,+0.0000 ,+0.0000
MEAD,NA,NA,NA,+120.0  ,+2022.  ,+195.   ,+1555.  ,+31.2   ,+11.733 ,+2.0166 ,+403.33,+.46339 ,+7.4143 ,+15.327 ,+5.9049 ,-67.710 ,+0.0000 ,+0.0000
MEAD,NA,NA,NA,+120.0  ,+2022.  ,+195.   ,+1555.  ,+32.2   ,+11.615 ,+2.0153 ,+403.05,+.46447 ,+7.4315 ,+15.327 ,+5.9223 ,-80.479 ,+0.0000 ,+0.0000
MEAD,NA,NA,NA,+120.0  ,+2022.  ,+195.   ,+1555.  ,+33.2   ,+11.700 ,+2.0194 ,+403.88,+.46586 ,+7.4537 ,+15.327 ,+5.9223 ,-57.173 ,+0.0000 ,+0.0000
MEAD,NA,NA,NA,+120.0  ,+2022.  ,+195.   ,+1555.  ,+34.2   ,+11.464 ,+2.0109 ,+402.18,+.46520 ,+7.4433 ,+15.315 ,+5.9105 ,-81.826 ,+0.0000 ,+0.0000
MEAD,NA,NA,NA,+120.0  ,+2022.  ,+195.   ,+1555.  ,+35.2   ,+11.700 ,+2.0139 ,+402.77,+.47071 ,+7.5314 ,+15.315 ,+5.9097 ,-76.347 ,+0.0000 ,+0.0000
MEAD,NA,NA,NA,+120.0  ,+2022.  ,+195.   ,+1555.  ,+36.2   ,+11.496 ,+2.0142 ,+402.84,+.47418 ,+7.5868 ,+15.315 ,+5.9105 ,-84.139 ,+0.0000 ,+0.0000
MEAD,NA,NA,NA,+120.0  ,+2022.  ,+195.   ,+1555.  ,+37.2   ,+11.667 ,+2.0220 ,+404.40,+.47275 ,+7.5640 ,+15.315 ,+5.8930 ,-59.399 ,+0.0000 ,+0.0000
MEAD,NA,NA,NA,+120.0  ,+2022.  ,+195.   ,+1555.  ,+38.2   ,+11.595 ,+2.0111 ,+402.22,+.47348 ,+7.5757 ,+15.315 ,+5.8930 ,-74.185 ,+0.0000 ,+0.0000
