"Plot Title: WILL_14C_CO2"
"#","Date Time, GMT-07:00","Temp, °C (LGR S/N: 20547762, SEN S/N: 20547762, LBL: 10_cm)","Host Connected (LGR S/N: 20547762)","Coupler Attached (LGR S/N: 20547762)","Stopped (LGR S/N: 20547762)","End Of File (LGR S/N: 20547762)"
159,06/29/22 07:00:00  PM,14.900,,,,
160,06/29/22 07:30:00  PM,13.461,,,,
161,06/29/22 08:00:00  PM,14.038,,,,
162,06/29/22 08:30:00  PM,12.497,,,,
163,06/29/22 09:00:00  PM,11.139,,,,
164,06/29/22 09:30:00  PM,11.528,,,,
165,06/29/22 10:00:00  PM,11.236,,,,
166,06/29/22 10:30:00  PM,10.259,,,,
167,06/29/22 11:00:00  PM,9.768,,,,
168,06/29/22 11:30:00  PM,9.571,,,,
169,06/30/22 12:00:00  AM,9.472,,,,
170,06/30/22 12:30:00  AM,9.669,,,,
171,06/30/22 01:00:00  AM,9.275,,,,
172,06/30/22 01:30:00  AM,9.866,,,,
173,06/30/22 02:00:00  AM,9.275,,,,
174,06/30/22 02:30:00  AM,10.161,,,,
175,06/30/22 03:00:00  AM,9.472,,,,
176,06/30/22 03:30:00  AM,8.382,,,,
177,06/30/22 04:00:00  AM,9.077,,,,
178,06/30/22 04:30:00  AM,9.373,,,,
179,06/30/22 05:00:00  AM,10.455,,,,
180,06/30/22 05:30:00  AM,11.916,,,,
181,06/30/22 06:00:00  AM,12.980,,,,
182,06/30/22 06:30:00  AM,13.654,,,,
183,06/30/22 07:00:00  AM,13.654,,,,
184,06/30/22 07:30:00  AM,15.855,,,,
185,06/30/22 08:00:00  AM,15.187,,,,
186,06/30/22 08:30:00  AM,15.855,,,,
187,06/30/22 09:00:00  AM,15.569,,,,
188,06/30/22 09:30:00  AM,16.713,,,,
189,06/30/22 10:00:00  AM,16.999,,,,
190,06/30/22 10:30:00  AM,18.236,,,,
191,06/30/22 11:00:00  AM,17.855,,,,
192,06/30/22 11:30:00  AM,17.570,,,,
193,06/30/22 12:00:00  PM,20.329,,,,
194,06/30/22 12:30:00  PM,19.377,,,,
195,06/30/22 01:00:00  PM,17.284,,,,
196,06/30/22 01:30:00  PM,17.379,,,,
197,06/30/22 02:00:00  PM,18.616,,,,
198,06/30/22 02:30:00  PM,18.045,,,,
199,06/30/22 03:00:00  PM,15.569,,,,
200,06/30/22 03:30:00  PM,16.808,,,,
201,06/30/22 04:00:00  PM,16.523,,,,
202,06/30/22 04:30:00  PM,17.189,,,,
203,06/30/22 05:00:00  PM,15.282,,,,
204,06/30/22 05:30:00  PM,14.996,,,,
205,06/30/22 06:00:00  PM,14.230,,,,
206,06/30/22 06:30:00  PM,14.230,,,,
207,06/30/22 07:00:00  PM,12.883,,,,
208,06/30/22 07:30:00  PM,12.497,,,,
209,06/30/22 08:00:00  PM,11.625,,,,
210,06/30/22 08:30:00  PM,10.553,,,,
211,06/30/22 09:00:00  PM,5.655,,,,
212,06/30/22 09:30:00  PM,6.877,,,,
213,06/30/22 10:00:00  PM,9.768,,,,
214,06/30/22 10:30:00  PM,7.179,,,,
215,06/30/22 11:00:00  PM,5.962,,,,
216,06/30/22 11:30:00  PM,6.064,,,,
217,07/01/22 12:00:00  AM,5.450,,,,
218,07/01/22 12:30:00  AM,5.037,,,,
219,07/01/22 01:00:00  AM,4.415,,,,
220,07/01/22 01:30:00  AM,4.519,,,,
221,07/01/22 02:00:00  AM,5.037,,,,
222,07/01/22 02:30:00  AM,5.244,,,,
223,07/01/22 03:00:00  AM,7.079,,,,
224,07/01/22 03:30:00  AM,7.280,,,,
225,07/01/22 04:00:00  AM,6.674,,,,
226,07/01/22 04:30:00  AM,5.860,,,,
227,07/01/22 05:00:00  AM,6.064,,,,
228,07/01/22 05:30:00  AM,6.471,,,,
229,07/01/22 06:00:00  AM,6.370,,,,
230,07/01/22 06:30:00  AM,5.347,,,,
231,07/01/22 07:00:00  AM,8.382,,,,
232,07/01/22 07:30:00  AM,8.182,,,,
233,07/01/22 08:00:00  AM,8.581,,,,
234,07/01/22 08:30:00  AM,8.779,,,,
235,07/01/22 09:00:00  AM,9.176,,,,
236,07/01/22 09:30:00  AM,13.942,,,,
237,07/01/22 10:00:00  AM,13.846,,,,
