"Plot Title: IRGA_LightMeasure"
"#","Date Time, GMT-07:00","Temp, °C (LGR S/N: 20553056, SEN S/N: 20553056)","Intensity, Lux (LGR S/N: 20553056, SEN S/N: 20553056)","End Of File (LGR S/N: 20553056)"
214,07/11/22 11:46:30  AM,21.091,258.3,
215,07/11/22 11:47:00  AM,20.615,215.3,
216,07/11/22 11:47:30  AM,20.138,10.8,
217,07/11/22 11:48:00  AM,19.662,10.8,
218,07/11/22 11:48:30  AM,19.282,21.5,
219,07/11/22 11:49:00  AM,18.901,21.5,
220,07/11/22 11:49:30  AM,18.711,21.5,
221,07/11/22 11:50:00  AM,18.616,10.8,
222,07/11/22 11:50:30  AM,18.521,161.5,
223,07/11/22 11:51:00  AM,18.521,172.2,
224,07/11/22 11:51:30  AM,18.616,398.3,
225,07/11/22 11:52:00  AM,18.806,236.8,
226,07/11/22 11:52:30  AM,18.901,484.4,
227,07/11/22 11:53:00  AM,19.092,161.5,
228,07/11/22 11:53:30  AM,19.187,828.8,
229,07/11/22 11:54:00  AM,19.282,990.3,
230,07/11/22 11:54:30  AM,19.282,161.5,
231,07/11/22 11:55:00  AM,19.282,193.8,
232,07/11/22 11:55:30  AM,19.187,290.6,
233,07/11/22 11:56:00  AM,19.187,430.6,
234,07/11/22 11:56:30  AM,19.092,279.9,
235,07/11/22 11:57:00  AM,19.092,269.1,
236,07/11/22 11:57:30  AM,19.092,258.3,
237,07/11/22 11:58:00  AM,18.996,398.3,
238,07/11/22 11:58:30  AM,18.996,215.3,
239,07/11/22 11:59:00  AM,18.901,183.0,
240,07/11/22 11:59:30  AM,18.806,301.4,
241,07/11/22 12:00:00  PM,18.711,193.8,
242,07/11/22 12:00:30  PM,18.616,301.4,
243,07/11/22 12:01:00  PM,18.616,1636.1,
244,07/11/22 12:01:30  PM,18.616,344.4,
245,07/11/22 12:02:00  PM,18.711,1636.1,
246,07/11/22 12:02:30  PM,18.806,236.8,
247,07/11/22 12:03:00  PM,18.806,721.2,
248,07/11/22 12:03:30  PM,18.901,2066.7,
249,07/11/22 12:04:00  PM,18.901,226.0,
250,07/11/22 12:04:30  PM,18.996,613.5,
251,07/11/22 12:05:00  PM,18.996,290.6,
252,07/11/22 12:05:30  PM,18.996,344.4,
253,07/11/22 12:06:00  PM,18.996,215.3,
254,07/11/22 12:06:30  PM,18.996,204.5,
255,07/11/22 12:07:00  PM,19.092,430.6,
256,07/11/22 12:07:30  PM,19.092,269.1,
257,07/11/22 12:08:00  PM,19.187,721.2,
258,07/11/22 12:08:30  PM,19.187,226.0,
259,07/11/22 12:09:00  PM,19.187,430.6,
260,07/11/22 12:09:30  PM,19.187,193.8,
261,07/11/22 12:10:00  PM,19.092,204.5,
262,07/11/22 12:10:30  PM,18.996,301.4,
263,07/11/22 12:11:00  PM,18.901,226.0,
264,07/11/22 12:11:30  PM,18.806,236.8,
265,07/11/22 12:12:00  PM,18.711,226.0,
266,07/11/22 12:12:30  PM,18.616,43.1,
267,07/11/22 12:13:00  PM,18.521,129.2,
268,07/11/22 12:13:30  PM,18.426,64.6,
269,07/11/22 12:14:00  PM,18.236,183.0,
270,07/11/22 12:14:30  PM,18.045,193.8,
271,07/11/22 12:15:00  PM,17.950,43.1,
272,07/11/22 12:15:30  PM,17.855,75.3,
273,07/11/22 12:16:00  PM,17.665,10.8,
274,07/11/22 12:16:30  PM,17.570,247.6,
275,07/11/22 12:17:00  PM,17.475,247.6,
276,07/11/22 12:17:30  PM,17.475,236.8,
277,07/11/22 12:18:00  PM,17.379,86.1,
278,07/11/22 12:18:30  PM,17.284,64.6,
279,07/11/22 12:19:00  PM,17.284,204.5,
280,07/11/22 12:19:30  PM,17.189,183.0,
281,07/11/22 12:20:00  PM,17.094,183.0,
282,07/11/22 12:20:30  PM,17.094,21.5,
283,07/11/22 12:21:00  PM,16.999,258.3,
284,07/11/22 12:21:30  PM,16.903,129.2,
285,07/11/22 12:22:00  PM,16.808,172.2,
286,07/11/22 12:22:30  PM,16.618,247.6,
287,07/11/22 12:23:00  PM,16.523,0.0,
288,07/11/22 12:23:30  PM,16.523,0.0,
289,07/11/22 12:24:00  PM,16.713,0.0,
290,07/11/22 12:24:30  PM,16.808,0.0,
291,07/11/22 12:25:00  PM,17.094,0.0,
292,07/11/22 12:25:30  PM,17.284,0.0,
293,07/11/22 12:26:00  PM,17.570,0.0,
294,07/11/22 12:26:30  PM,17.760,0.0,
295,07/11/22 12:27:00  PM,18.045,0.0,
296,07/11/22 12:27:30  PM,18.616,0.0,
297,07/11/22 12:28:00  PM,19.187,0.0,
298,07/11/22 12:28:30  PM,19.758,0.0,
299,07/11/22 12:29:00  PM,20.329,0.0,
300,07/11/22 12:29:30  PM,20.805,0.0,
301,07/11/22 12:30:00  PM,21.378,0.0,
302,07/11/22 12:30:30  PM,21.760,0.0,
303,07/11/22 12:31:00  PM,22.238,0.0,
304,07/11/22 12:31:30  PM,22.621,0.0,
305,07/11/22 12:32:00  PM,23.004,0.0,
306,07/11/22 12:32:30  PM,23.388,0.0,
307,07/11/22 12:33:00  PM,23.677,0.0,
308,07/11/22 12:33:30  PM,23.966,0.0,
309,07/11/22 12:34:00  PM,24.255,0.0,
310,07/11/22 12:34:30  PM,24.545,0.0,
311,07/11/22 12:35:00  PM,24.738,0.0,
312,07/11/22 12:35:30  PM,24.931,0.0,
313,07/11/22 12:36:00  PM,25.222,0.0,
314,07/11/22 12:36:30  PM,25.416,0.0,
315,07/11/22 12:37:00  PM,25.610,0.0,
316,07/11/22 12:37:30  PM,25.805,0.0,
317,07/11/22 12:38:00  PM,25.902,0.0,
318,07/11/22 12:38:30  PM,26.097,0.0,
319,07/11/22 12:39:00  PM,26.195,0.0,
320,07/11/22 12:39:30  PM,26.390,0.0,
321,07/11/22 12:40:00  PM,26.488,0.0,
322,07/11/22 12:40:30  PM,26.683,0.0,
323,07/11/22 12:41:00  PM,26.781,0.0,
324,07/11/22 12:41:30  PM,26.879,0.0,
325,07/11/22 12:42:00  PM,26.977,0.0,
326,07/11/22 12:42:30  PM,27.075,0.0,
327,07/11/22 12:43:00  PM,27.173,0.0,
328,07/11/22 12:43:30  PM,27.272,0.0,
329,07/11/22 12:44:00  PM,27.370,0.0,
330,07/11/22 12:44:30  PM,27.468,0.0,
331,07/11/22 12:45:00  PM,27.567,0.0,
332,07/11/22 12:45:30  PM,27.567,0.0,
333,07/11/22 12:46:00  PM,27.665,0.0,
334,07/11/22 12:46:30  PM,27.665,0.0,
335,07/11/22 12:47:00  PM,27.764,0.0,
336,07/11/22 12:47:30  PM,27.862,0.0,
337,07/11/22 12:48:00  PM,27.862,0.0,
338,07/11/22 12:48:30  PM,27.961,0.0,
339,07/11/22 12:49:00  PM,27.961,0.0,
340,07/11/22 12:49:30  PM,28.060,0.0,
341,07/11/22 12:50:00  PM,28.060,0.0,
342,07/11/22 12:50:30  PM,28.159,0.0,
343,07/11/22 12:51:00  PM,28.159,0.0,
344,07/11/22 12:51:30  PM,28.159,0.0,
345,07/11/22 12:52:00  PM,28.258,0.0,
346,07/11/22 12:52:30  PM,28.159,0.0,
347,07/11/22 12:53:00  PM,28.060,0.0,
348,07/11/22 12:53:30  PM,27.961,0.0,
349,07/11/22 12:54:00  PM,27.862,0.0,
350,07/11/22 12:54:30  PM,27.764,0.0,
351,07/11/22 12:55:00  PM,27.665,0.0,
352,07/11/22 12:55:30  PM,27.665,0.0,
353,07/11/22 12:56:00  PM,27.665,0.0,
354,07/11/22 12:56:30  PM,27.567,0.0,
355,07/11/22 12:57:00  PM,27.567,0.0,
356,07/11/22 12:57:30  PM,27.665,0.0,
357,07/11/22 12:58:00  PM,27.764,0.0,
358,07/11/22 12:58:30  PM,27.862,0.0,
359,07/11/22 12:59:00  PM,27.961,0.0,
360,07/11/22 12:59:30  PM,28.060,0.0,
361,07/11/22 01:00:00  PM,28.159,0.0,
362,07/11/22 01:00:30  PM,28.258,0.0,
363,07/11/22 01:01:00  PM,28.357,0.0,
364,07/11/22 01:01:30  PM,28.357,0.0,
365,07/11/22 01:02:00  PM,28.456,0.0,
366,07/11/22 01:02:30  PM,28.555,0.0,
367,07/11/22 01:03:00  PM,28.655,0.0,
368,07/11/22 01:03:30  PM,28.655,86.1,
369,07/11/22 01:04:00  PM,28.555,559.7,
370,07/11/22 01:04:30  PM,28.456,624.3,
371,07/11/22 01:05:00  PM,28.159,419.8,
372,07/11/22 01:05:30  PM,27.961,290.6,
373,07/11/22 01:06:00  PM,27.665,86.1,
374,07/11/22 01:06:30  PM,27.370,0.0,
375,07/11/22 01:07:00  PM,27.173,0.0,
376,07/11/22 01:07:30  PM,26.977,0.0,
377,07/11/22 01:08:00  PM,26.781,0.0,
378,07/11/22 01:08:30  PM,26.585,0.0,
379,07/11/22 01:09:00  PM,26.390,0.0,
380,07/11/22 01:09:30  PM,26.292,0.0,
381,07/11/22 01:10:00  PM,26.195,0.0,
