"Plot Title: IRGA_LightMeasure"
"#","Date Time, GMT-07:00","Temp, °C (LGR S/N: 20553056, SEN S/N: 20553056)","Intensity, Lux (LGR S/N: 20553056, SEN S/N: 20553056)","Coupler Detached (LGR S/N: 20553056)","Coupler Attached (LGR S/N: 20553056)","Host Connected (LGR S/N: 20553056)","Stopped (LGR S/N: 20553056)","End Of File (LGR S/N: 20553056)"
230,07/26/22 10:54:00  AM,27.075,667.4,,,,,
231,07/26/22 10:54:30  AM,27.370,441.3,,,,,
232,07/26/22 10:55:00  AM,27.370,118.4,,,,,
233,07/26/22 10:55:30  AM,27.567,290.6,,,,,
234,07/26/22 10:56:00  AM,27.665,807.3,,,,,
235,07/26/22 10:56:30  AM,27.764,527.4,,,,,
236,07/26/22 10:57:00  AM,27.961,2755.6,,,,,
237,07/26/22 10:57:30  AM,28.258,2497.2,,,,,
238,07/26/22 10:58:00  AM,28.953,115734.1,,,,,
239,07/26/22 10:58:30  AM,28.555,110223.0,,,,,
240,07/26/22 10:59:00  AM,27.961,110223.0,,,,,
241,07/26/22 10:59:30  AM,27.468,110223.0,,,,,
242,07/26/22 11:00:00  AM,26.977,110223.0,,,,,
243,07/26/22 11:00:30  AM,26.292,1119.5,,,,,
244,07/26/22 11:01:00  AM,26.195,1808.3,,,,,
245,07/26/22 11:01:30  AM,26.488,2238.9,,,,,
246,07/26/22 11:02:00  AM,26.781,516.7,,,,,
247,07/26/22 11:02:30  AM,27.075,635.1,,,,,
248,07/26/22 11:03:00  AM,27.370,925.7,,,,,
249,07/26/22 11:03:30  AM,27.272,1463.9,,,,,
250,07/26/22 11:04:00  AM,26.977,344.4,,,,,
251,07/26/22 11:04:30  AM,27.272,2066.7,,,,,
252,07/26/22 11:05:00  AM,27.468,215.3,,,,,
253,07/26/22 11:05:30  AM,27.665,2497.2,,,,,
254,07/26/22 11:06:00  AM,28.060,1722.2,,,,,
255,07/26/22 11:06:30  AM,28.357,344.4,,,,,
256,07/26/22 11:07:00  AM,28.555,258.3,,,,,
257,07/26/22 11:07:30  AM,28.456,828.8,,,,,
258,07/26/22 11:08:00  AM,28.456,1216.3,,,,,
259,07/26/22 11:08:30  AM,28.456,68889.3,,,,,
260,07/26/22 11:09:00  AM,27.468,68889.3,,,,,
261,07/26/22 11:09:30  AM,26.292,68889.3,,,,,
262,07/26/22 11:10:00  AM,25.028,1894.5,,,,,
263,07/26/22 11:10:30  AM,24.158,3272.2,,,,,
264,07/26/22 11:11:00  AM,24.158,6200.0,,,,,
265,07/26/22 11:11:30  AM,24.158,2325.0,,,,,
266,07/26/22 11:12:00  AM,24.641,99200.7,,,,,
267,07/26/22 11:12:30  AM,24.641,99200.7,,,,,
268,07/26/22 11:13:00  AM,24.255,99200.7,,,,,
269,07/26/22 11:13:30  AM,23.388,1894.5,,,,,
270,07/26/22 11:14:00  AM,22.908,549.0,,,,,
271,07/26/22 11:14:30  AM,23.196,1173.3,,,,,
272,07/26/22 11:15:00  AM,22.717,0.0,,,,,
