"Plot Title: IRGA_LightMeasure"
"#","Date Time, GMT-07:00","Temp, °C (LGR S/N: 20553056, SEN S/N: 20553056)","Intensity, Lux (LGR S/N: 20553056, SEN S/N: 20553056)","Good Battery (LGR S/N: 20553056)","Coupler Attached (LGR S/N: 20553056)","Host Connected (LGR S/N: 20553056)","Stopped (LGR S/N: 20553056)","End Of File (LGR S/N: 20553056)"
193,07/07/22 05:36:00  PM,34.058,88178.4,,,,,
194,07/07/22 05:36:30  PM,32.086,979.5,,,,,
195,07/07/22 05:37:00  PM,30.054,635.1,,,,,
196,07/07/22 05:37:30  PM,29.452,581.3,,,,,
197,07/07/22 05:38:00  PM,29.053,473.6,,,,,
198,07/07/22 05:38:30  PM,28.953,1216.3,,,,,
199,07/07/22 05:39:00  PM,28.655,215.3,,,,,
200,07/07/22 05:39:30  PM,28.357,193.8,,,,,
201,07/07/22 05:40:00  PM,28.060,183.0,,,,,
202,07/07/22 05:40:30  PM,27.665,215.3,,,,,
203,07/07/22 05:41:00  PM,27.272,269.1,,,,,
204,07/07/22 05:41:30  PM,27.173,699.7,,,,,
205,07/07/22 05:42:00  PM,27.468,1636.1,,,,,
206,07/07/22 05:42:30  PM,27.567,398.3,,,,,
207,07/07/22 05:43:00  PM,27.468,1636.1,,,,,
208,07/07/22 05:43:30  PM,27.567,226.0,,,,,
209,07/07/22 05:44:00  PM,27.370,193.8,,,,,
210,07/07/22 05:44:30  PM,27.173,990.3,,,,,
211,07/07/22 05:45:00  PM,27.075,861.1,,,,,
212,07/07/22 05:45:30  PM,26.879,2066.7,,,,,
213,07/07/22 05:46:00  PM,26.781,387.5,,,,,
214,07/07/22 05:46:30  PM,26.585,462.9,,,,,
215,07/07/22 05:47:00  PM,26.390,312.2,,,,,
216,07/07/22 05:47:30  PM,26.585,85422.8,,,,,
217,07/07/22 05:48:00  PM,26.000,85422.8,,,,,
218,07/07/22 05:48:30  PM,25.416,85422.8,,,,,
219,07/07/22 05:49:00  PM,24.835,85422.8,,,,,
220,07/07/22 05:49:30  PM,23.484,1065.6,,,,,
221,07/07/22 05:50:00  PM,23.004,2152.8,,,,,
222,07/07/22 05:50:30  PM,23.004,2152.8,,,,,
223,07/07/22 05:51:00  PM,22.908,279.9,,,,,
224,07/07/22 05:51:30  PM,22.908,290.6,,,,,
225,07/07/22 05:52:00  PM,23.196,1550.0,,,,,
226,07/07/22 05:52:30  PM,23.484,2152.8,,,,,
227,07/07/22 05:53:00  PM,23.869,2152.8,,,,,
228,07/07/22 05:53:30  PM,24.158,785.8,,,,,
229,07/07/22 05:54:00  PM,24.351,1054.9,,,,,
230,07/07/22 05:54:30  PM,24.835,1356.3,,,,,
231,07/07/22 05:55:00  PM,25.028,312.2,,,,,
232,07/07/22 05:55:30  PM,25.125,366.0,,,,,
233,07/07/22 05:56:00  PM,25.319,2152.8,,,,,
234,07/07/22 05:56:30  PM,25.319,129.2,,,,,
235,07/07/22 05:57:00  PM,25.416,236.8,,,,,
236,07/07/22 05:57:30  PM,25.513,279.9,,,,,
237,07/07/22 05:58:00  PM,25.416,1184.0,,,,,
238,07/07/22 05:58:30  PM,25.319,592.0,,,,,
239,07/07/22 05:59:00  PM,25.416,99200.7,,,,,
240,07/07/22 05:59:30  PM,27.567,99200.7,,,,,
241,07/07/22 06:00:00  PM,27.862,99200.7,,,,,
242,07/07/22 06:00:30  PM,27.961,99200.7,,,,,
243,07/07/22 06:01:00  PM,27.961,99200.7,,,,,
244,07/07/22 06:01:30  PM,27.567,99200.7,,,,,
245,07/07/22 06:02:00  PM,26.683,71644.9,,,,,
246,07/07/22 06:02:30  PM,26.585,74400.5,,,,,
247,07/07/22 06:03:00  PM,26.683,71644.9,,,,,
248,07/07/22 06:03:30  PM,25.222,172.2,,,,,
249,07/07/22 06:04:00  PM,24.448,172.2,,,,,
250,07/07/22 06:04:30  PM,23.966,150.7,,,,,
251,07/07/22 06:05:00  PM,23.484,161.5,,,,,
252,07/07/22 06:05:30  PM,23.100,172.2,,,,,
253,07/07/22 06:06:00  PM,22.812,161.5,,,,,
254,07/07/22 06:06:30  PM,22.525,150.7,,,,,
255,07/07/22 06:07:00  PM,22.238,236.8,,,,,
256,07/07/22 06:07:30  PM,22.046,43.1,,,,,
257,07/07/22 06:08:00  PM,21.855,301.4,,,,,
258,07/07/22 06:08:30  PM,21.760,215.3,,,,,
259,07/07/22 06:09:00  PM,21.951,2583.4,,,,,
260,07/07/22 06:09:30  PM,22.333,2497.2,,,,,
261,07/07/22 06:10:00  PM,22.812,161.5,,,,,
262,07/07/22 06:10:30  PM,22.812,258.3,,,,,
263,07/07/22 06:11:00  PM,22.908,1636.1,,,,,
264,07/07/22 06:11:30  PM,22.908,193.8,,,,,
265,07/07/22 06:12:00  PM,23.004,2755.6,,,,,
266,07/07/22 06:12:30  PM,22.908,204.5,,,,,
267,07/07/22 06:13:00  PM,22.908,2411.1,,,,,
268,07/07/22 06:13:30  PM,23.004,57867.0,,,,,
269,07/07/22 06:14:00  PM,23.196,57867.0,,,,,
270,07/07/22 06:14:30  PM,22.812,57867.0,,,,,
271,07/07/22 06:15:00  PM,22.429,57867.0,,,,,
272,07/07/22 06:15:30  PM,21.760,247.6,,,,,
273,07/07/22 06:16:00  PM,20.901,96.9,,,,,
274,07/07/22 06:16:30  PM,20.996,226.0,,,,,
275,07/07/22 06:17:00  PM,21.091,979.5,,,,,
