"Plot Title: MEAD_5C"
"#","Date Time, GMT-07:00","Temp, °C (LGR S/N: 10503880, SEN S/N: 10503880)","Host Connected (LGR S/N: 10503880)","Coupler Attached (LGR S/N: 10503880)","Stopped (LGR S/N: 10503880)","End Of File (LGR S/N: 10503880)"
195,07/02/22 02:30:00  PM,13.173,,,,
196,07/02/22 02:45:00  PM,12.207,,,,
197,07/02/22 03:00:00  PM,10.651,,,,
198,07/02/22 03:15:00  PM,10.553,,,,
199,07/02/22 03:30:00  PM,11.139,,,,
200,07/02/22 03:45:00  PM,11.236,,,,
201,07/02/22 04:00:00  PM,10.553,,,,
202,07/02/22 04:15:00  PM,10.357,,,,
203,07/02/22 04:30:00  PM,11.625,,,,
204,07/02/22 04:45:00  PM,11.139,,,,
205,07/02/22 05:00:00  PM,9.275,,,,
206,07/02/22 05:15:00  PM,10.161,,,,
207,07/02/22 05:30:00  PM,9.768,,,,
208,07/02/22 05:45:00  PM,8.879,,,,
209,07/02/22 06:00:00  PM,7.983,,,,
210,07/02/22 06:15:00  PM,8.581,,,,
211,07/02/22 06:30:00  PM,9.472,,,,
212,07/02/22 06:45:00  PM,9.669,,,,
213,07/02/22 07:00:00  PM,8.680,,,,
214,07/02/22 07:15:00  PM,7.882,,,,
215,07/02/22 07:30:00  PM,7.983,,,,
216,07/02/22 07:45:00  PM,8.282,,,,
217,07/02/22 08:00:00  PM,8.481,,,,
218,07/02/22 08:15:00  PM,7.481,,,,
219,07/02/22 08:30:00  PM,6.775,,,,
220,07/02/22 08:45:00  PM,6.573,,,,
221,07/02/22 09:00:00  PM,6.978,,,,
222,07/02/22 09:15:00  PM,6.674,,,,
223,07/02/22 09:30:00  PM,6.370,,,,
224,07/02/22 09:45:00  PM,5.962,,,,
225,07/02/22 10:00:00  PM,5.962,,,,
226,07/02/22 10:15:00  PM,5.552,,,,
227,07/02/22 10:30:00  PM,5.655,,,,
228,07/02/22 10:45:00  PM,4.934,,,,
229,07/02/22 11:00:00  PM,5.037,,,,
230,07/02/22 11:15:00  PM,5.552,,,,
231,07/02/22 11:30:00  PM,5.552,,,,
232,07/02/22 11:45:00  PM,5.757,,,,
233,07/03/22 12:00:00  AM,5.347,,,,
234,07/03/22 12:15:00  AM,5.347,,,,
235,07/03/22 12:30:00  AM,5.552,,,,
236,07/03/22 12:45:00  AM,5.141,,,,
237,07/03/22 01:00:00  AM,5.037,,,,
238,07/03/22 01:15:00  AM,5.141,,,,
239,07/03/22 01:30:00  AM,5.141,,,,
240,07/03/22 01:45:00  AM,5.450,,,,
