"Plot Title: WILL_13T_CO2"
"#","Date Time, GMT-07:00","Temp, °C (LGR S/N: 20547752, SEN S/N: 20547752, LBL: 10_cm)","Coupler Attached (LGR S/N: 20547752)","Host Connected (LGR S/N: 20547752)","Stopped (LGR S/N: 20547752)","End Of File (LGR S/N: 20547752)"
223,07/01/22 03:00:00  AM,7.782,,,,
224,07/01/22 03:30:00  AM,8.182,,,,
225,07/01/22 04:00:00  AM,7.381,,,,
226,07/01/22 04:30:00  AM,6.978,,,,
227,07/01/22 05:00:00  AM,6.775,,,,
228,07/01/22 05:30:00  AM,7.079,,,,
229,07/01/22 06:00:00  AM,6.775,,,,
230,07/01/22 06:30:00  AM,6.471,,,,
231,07/01/22 07:00:00  AM,9.669,,,,
232,07/01/22 07:30:00  AM,9.373,,,,
233,07/01/22 08:00:00  AM,9.275,,,,
234,07/01/22 08:30:00  AM,10.161,,,,
235,07/01/22 09:00:00  AM,11.334,,,,
236,07/01/22 09:30:00  AM,16.808,,,,
237,07/01/22 10:00:00  AM,15.473,,,,
238,07/01/22 10:30:00  AM,16.523,,,,
239,07/01/22 11:00:00  AM,12.594,,,,
240,07/01/22 11:30:00  AM,9.866,,,,
241,07/01/22 12:00:00  PM,10.259,,,,
242,07/01/22 12:30:00  PM,11.528,,,,
243,07/01/22 01:00:00  PM,14.038,,,,
244,07/01/22 01:30:00  PM,14.709,,,,
245,07/01/22 02:00:00  PM,12.690,,,,
246,07/01/22 02:30:00  PM,11.722,,,,
247,07/01/22 03:00:00  PM,11.722,,,,
248,07/01/22 03:30:00  PM,10.455,,,,
249,07/01/22 04:00:00  PM,8.779,,,,
250,07/01/22 04:30:00  PM,7.481,,,,
251,07/01/22 05:00:00  PM,6.978,,,,
252,07/01/22 05:30:00  PM,6.775,,,,
253,07/01/22 06:00:00  PM,7.381,,,,
254,07/01/22 06:30:00  PM,6.573,,,,
255,07/01/22 07:00:00  PM,6.268,,,,
256,07/01/22 07:30:00  PM,5.962,,,,
257,07/01/22 08:00:00  PM,5.860,,,,
258,07/01/22 08:30:00  PM,4.934,,,,
259,07/01/22 09:00:00  PM,5.860,,,,
260,07/01/22 09:30:00  PM,5.552,,,,
261,07/01/22 10:00:00  PM,5.757,,,,
262,07/01/22 10:30:00  PM,4.934,,,,
263,07/01/22 11:00:00  PM,5.347,,,,
264,07/01/22 11:30:00  PM,4.415,,,,
265,07/02/22 12:00:00  AM,5.244,,,,
266,07/02/22 12:30:00  AM,5.962,,,,
267,07/02/22 01:00:00  AM,4.623,,,,
268,07/02/22 01:30:00  AM,5.141,,,,
269,07/02/22 02:00:00  AM,4.623,,,,
270,07/02/22 02:30:00  AM,3.788,,,,
271,07/02/22 03:00:00  AM,5.037,,,,
272,07/02/22 03:30:00  AM,5.141,,,,
273,07/02/22 04:00:00  AM,5.962,,,,
274,07/02/22 04:30:00  AM,6.573,,,,
275,07/02/22 05:00:00  AM,6.978,,,,
276,07/02/22 05:30:00  AM,6.573,,,,
277,07/02/22 06:00:00  AM,6.573,,,,
278,07/02/22 06:30:00  AM,5.037,,,,
279,07/02/22 07:00:00  AM,5.962,,,,
280,07/02/22 07:30:00  AM,5.962,,,,
281,07/02/22 08:00:00  AM,7.782,,,,
282,07/02/22 08:30:00  AM,6.978,,,,
283,07/02/22 09:00:00  AM,8.082,,,,
284,07/02/22 09:30:00  AM,10.161,,,,
285,07/02/22 10:00:00  AM,9.571,,,,
286,07/02/22 10:30:00  AM,10.455,,,,
287,07/02/22 11:00:00  AM,12.304,,,,
288,07/02/22 11:30:00  AM,12.883,,,,
289,07/02/22 12:00:00  PM,13.654,,,,
290,07/02/22 12:30:00  PM,14.134,,,,
291,07/02/22 01:00:00  PM,12.110,,,,
292,07/02/22 01:30:00  PM,12.304,,,,
293,07/02/22 02:00:00  PM,12.110,,,,
294,07/02/22 02:30:00  PM,13.461,,,,
295,07/02/22 03:00:00  PM,10.944,,,,
296,07/02/22 03:30:00  PM,11.625,,,,
297,07/02/22 04:00:00  PM,11.236,,,,
298,07/02/22 04:30:00  PM,12.110,,,,
299,07/02/22 05:00:00  PM,9.965,,,,
300,07/02/22 05:30:00  PM,10.455,,,,
301,07/02/22 06:00:00  PM,8.382,,,,
302,07/02/22 06:30:00  PM,9.669,,,,
303,07/02/22 07:00:00  PM,8.680,,,,
304,07/02/22 07:30:00  PM,8.082,,,,
305,07/02/22 08:00:00  PM,8.282,,,,
306,07/02/22 08:30:00  PM,7.079,,,,
307,07/02/22 09:00:00  PM,7.280,,,,
308,07/02/22 09:30:00  PM,7.179,,,,
309,07/02/22 10:00:00  PM,6.674,,,,
310,07/02/22 10:30:00  PM,6.471,,,,
311,07/02/22 11:00:00  PM,5.347,,,,
312,07/02/22 11:30:00  PM,6.064,,,,
313,07/03/22 12:00:00  AM,6.064,,,,
314,07/03/22 12:30:00  AM,6.064,,,,
315,07/03/22 01:00:00  AM,5.450,,,,
316,07/03/22 01:30:00  AM,5.552,,,,
317,07/03/22 02:00:00  AM,6.166,,,,
318,07/03/22 02:30:00  AM,5.141,,,,
319,07/03/22 03:00:00  AM,4.415,,,,
320,07/03/22 03:30:00  AM,3.998,,,,
321,07/03/22 04:00:00  AM,4.623,,,,
322,07/03/22 04:30:00  AM,4.831,,,,
323,07/03/22 05:00:00  AM,4.207,,,,
324,07/03/22 05:30:00  AM,4.623,,,,
325,07/03/22 06:00:00  AM,5.244,,,,
326,07/03/22 06:30:00  AM,5.860,,,,
327,07/03/22 07:00:00  AM,6.775,,,,
328,07/03/22 07:30:00  AM,8.182,,,,
329,07/03/22 08:00:00  AM,7.280,,,,
330,07/03/22 08:30:00  AM,7.582,,,,
331,07/03/22 09:00:00  AM,7.983,,,,
332,07/03/22 09:30:00  AM,6.471,,,,
333,07/03/22 10:00:00  AM,7.381,,,,
334,07/03/22 10:30:00  AM,7.983,,,,
335,07/03/22 11:00:00  AM,7.882,,,,
336,07/03/22 11:30:00  AM,7.682,,,,
337,07/03/22 12:00:00  PM,7.481,,,,
338,07/03/22 12:30:00  PM,7.983,,,,
339,07/03/22 01:00:00  PM,8.182,,,,
340,07/03/22 01:30:00  PM,7.481,,,,
341,07/03/22 02:00:00  PM,7.882,,,,
342,07/03/22 02:30:00  PM,6.064,,,,
343,07/03/22 03:00:00  PM,6.674,,,,
344,07/03/22 03:30:00  PM,7.280,,,,
345,07/03/22 04:00:00  PM,5.655,,,,
346,07/03/22 04:30:00  PM,4.831,,,,
347,07/03/22 05:00:00  PM,5.450,,,,
348,07/03/22 05:30:00  PM,4.934,,,,
349,07/03/22 06:00:00  PM,5.037,,,,
350,07/03/22 06:30:00  PM,4.831,,,,
351,07/03/22 07:00:00  PM,5.552,,,,
352,07/03/22 07:30:00  PM,5.244,,,,
353,07/03/22 08:00:00  PM,4.519,,,,
354,07/03/22 08:30:00  PM,4.519,,,,
355,07/03/22 09:00:00  PM,4.102,,,,
356,07/03/22 09:30:00  PM,3.367,,,,
357,07/03/22 10:00:00  PM,2.837,,,,
358,07/03/22 10:30:00  PM,2.624,,,,
359,07/03/22 11:00:00  PM,2.517,,,,
360,07/03/22 11:30:00  PM,3.049,,,,
361,07/04/22 12:00:00  AM,2.837,,,,
362,07/04/22 12:30:00  AM,2.837,,,,
363,07/04/22 01:00:00  AM,3.261,,,,
364,07/04/22 01:30:00  AM,3.367,,,,
365,07/04/22 02:00:00  AM,3.998,,,,
366,07/04/22 02:30:00  AM,4.207,,,,
367,07/04/22 03:00:00  AM,4.311,,,,
368,07/04/22 03:30:00  AM,3.893,,,,
369,07/04/22 04:00:00  AM,3.893,,,,
370,07/04/22 04:30:00  AM,4.311,,,,
371,07/04/22 05:00:00  AM,4.623,,,,
372,07/04/22 05:30:00  AM,4.727,,,,
373,07/04/22 06:00:00  AM,5.141,,,,
374,07/04/22 06:30:00  AM,5.552,,,,
375,07/04/22 07:00:00  AM,6.064,,,,
376,07/04/22 07:30:00  AM,6.775,,,,
377,07/04/22 08:00:00  AM,8.779,,,,
378,07/04/22 08:30:00  AM,10.357,,,,
379,07/04/22 09:00:00  AM,12.497,,,,
380,07/04/22 09:30:00  AM,13.558,,,,
381,07/04/22 10:00:00  AM,12.594,,,,
382,07/04/22 10:30:00  AM,15.091,,,,
383,07/04/22 11:00:00  AM,13.846,,,,
384,07/04/22 11:30:00  AM,14.421,,,,
385,07/04/22 12:00:00  PM,14.517,,,,
386,07/04/22 12:30:00  PM,15.760,,,,
387,07/04/22 01:00:00  PM,14.804,,,,
388,07/04/22 01:30:00  PM,15.282,,,,
389,07/04/22 02:00:00  PM,15.855,,,,
390,07/04/22 02:30:00  PM,13.942,,,,
391,07/04/22 03:00:00  PM,14.230,,,,
392,07/04/22 03:30:00  PM,13.750,,,,
393,07/04/22 04:00:00  PM,12.883,,,,
394,07/04/22 04:30:00  PM,11.819,,,,
395,07/04/22 05:00:00  PM,10.846,,,,
396,07/04/22 05:30:00  PM,10.455,,,,
397,07/04/22 06:00:00  PM,11.722,,,,
398,07/04/22 06:30:00  PM,11.722,,,,
399,07/04/22 07:00:00  PM,10.846,,,,
400,07/04/22 07:30:00  PM,9.866,,,,
401,07/04/22 08:00:00  PM,7.079,,,,
402,07/04/22 08:30:00  PM,7.280,,,,
403,07/04/22 09:00:00  PM,8.282,,,,
404,07/04/22 09:30:00  PM,6.268,,,,
405,07/04/22 10:00:00  PM,7.280,,,,
406,07/04/22 10:30:00  PM,5.655,,,,
407,07/04/22 11:00:00  PM,6.775,,,,
408,07/04/22 11:30:00  PM,7.582,,,,
409,07/05/22 12:00:00  AM,7.079,,,,
410,07/05/22 12:30:00  AM,7.481,,,,
411,07/05/22 01:00:00  AM,7.179,,,,
412,07/05/22 01:30:00  AM,5.757,,,,
413,07/05/22 02:00:00  AM,7.882,,,,
414,07/05/22 02:30:00  AM,7.280,,,,
415,07/05/22 03:00:00  AM,8.382,,,,
416,07/05/22 03:30:00  AM,9.866,,,,
417,07/05/22 04:00:00  AM,11.041,,,,
418,07/05/22 04:30:00  AM,8.481,,,,
419,07/05/22 05:00:00  AM,9.176,,,,
420,07/05/22 05:30:00  AM,13.461,,,,
421,07/05/22 06:00:00  AM,15.187,,,,
422,07/05/22 06:30:00  AM,15.569,,,,
423,07/05/22 07:00:00  AM,16.141,,,,
424,07/05/22 07:30:00  AM,16.141,,,,
425,07/05/22 08:00:00  AM,20.234,,,,
426,07/05/22 08:30:00  AM,17.665,,,,
427,07/05/22 09:00:00  AM,17.475,,,,
428,07/05/22 09:30:00  AM,19.092,,,,
429,07/05/22 10:00:00  AM,21.378,,,,
430,07/05/22 10:30:00  AM,17.475,,,,
431,07/05/22 11:00:00  AM,17.094,,,,
432,07/05/22 11:30:00  AM,16.713,,,,
433,07/05/22 12:00:00  PM,15.187,,,,
434,07/05/22 12:30:00  PM,18.806,,,,
435,07/05/22 01:00:00  PM,18.140,,,,
436,07/05/22 01:30:00  PM,16.808,,,,
437,07/05/22 02:00:00  PM,19.282,,,,
438,07/05/22 02:30:00  PM,17.094,,,,
439,07/05/22 03:00:00  PM,17.570,,,,
440,07/05/22 03:30:00  PM,16.237,,,,
441,07/05/22 04:00:00  PM,12.110,,,,
442,07/05/22 04:30:00  PM,14.230,,,,
443,07/05/22 05:00:00  PM,12.304,,,,
444,07/05/22 05:30:00  PM,11.236,,,,
445,07/05/22 06:00:00  PM,12.980,,,,
446,07/05/22 06:30:00  PM,10.455,,,,
447,07/05/22 07:00:00  PM,9.571,,,,
448,07/05/22 07:30:00  PM,7.983,,,,
449,07/05/22 08:00:00  PM,7.882,,,,
450,07/05/22 08:30:00  PM,7.381,,,,
451,07/05/22 09:00:00  PM,7.079,,,,
452,07/05/22 09:30:00  PM,6.978,,,,
453,07/05/22 10:00:00  PM,6.166,,,,
454,07/05/22 10:30:00  PM,5.757,,,,
455,07/05/22 11:00:00  PM,6.674,,,,
456,07/05/22 11:30:00  PM,5.244,,,,
457,07/06/22 12:00:00  AM,5.860,,,,
458,07/06/22 12:30:00  AM,5.655,,,,
459,07/06/22 01:00:00  AM,6.064,,,,
460,07/06/22 01:30:00  AM,6.877,,,,
461,07/06/22 02:00:00  AM,7.179,,,,
462,07/06/22 02:30:00  AM,6.471,,,,
463,07/06/22 03:00:00  AM,7.079,,,,
464,07/06/22 03:30:00  AM,7.682,,,,
465,07/06/22 04:00:00  AM,7.280,,,,
466,07/06/22 04:30:00  AM,6.978,,,,
467,07/06/22 05:00:00  AM,6.775,,,,
468,07/06/22 05:30:00  AM,6.166,,,,
469,07/06/22 06:00:00  AM,4.727,,,,
470,07/06/22 06:30:00  AM,3.788,,,,
471,07/06/22 07:00:00  AM,3.472,,,,
472,07/06/22 07:30:00  AM,3.367,,,,
473,07/06/22 08:00:00  AM,4.102,,,,
