"Plot Title: MEAD_1T"
"#","Date Time, GMT-07:00","Temp, °C (LGR S/N: 9740230, SEN S/N: 9740230)","Good Battery (LGR S/N: 9740230)","Host Connected (LGR S/N: 9740230)","Coupler Attached (LGR S/N: 9740230)","Stopped (LGR S/N: 9740230)","End Of File (LGR S/N: 9740230)"
247,07/03/22 03:30:00  AM,4.831,,,,,
248,07/03/22 03:45:00  AM,4.519,,,,,
249,07/03/22 04:00:00  AM,4.934,,,,,
250,07/03/22 04:15:00  AM,5.552,,,,,
251,07/03/22 04:30:00  AM,5.655,,,,,
252,07/03/22 04:45:00  AM,5.450,,,,,
253,07/03/22 05:00:00  AM,5.037,,,,,
254,07/03/22 05:15:00  AM,4.831,,,,,
255,07/03/22 05:30:00  AM,5.037,,,,,
256,07/03/22 05:45:00  AM,5.655,,,,,
257,07/03/22 06:00:00  AM,6.166,,,,,
258,07/03/22 06:15:00  AM,6.268,,,,,
259,07/03/22 06:30:00  AM,6.877,,,,,
260,07/03/22 06:45:00  AM,7.983,,,,,
261,07/03/22 07:00:00  AM,8.779,,,,,
262,07/03/22 07:15:00  AM,9.571,,,,,
263,07/03/22 07:30:00  AM,10.748,,,,,
264,07/03/22 07:45:00  AM,11.041,,,,,
265,07/03/22 08:00:00  AM,10.259,,,,,
266,07/03/22 08:15:00  AM,10.259,,,,,
267,07/03/22 08:30:00  AM,10.553,,,,,
268,07/03/22 08:45:00  AM,10.651,,,,,
269,07/03/22 09:00:00  AM,11.041,,,,,
270,07/03/22 09:15:00  AM,10.063,,,,,
271,07/03/22 09:30:00  AM,9.472,,,,,
272,07/03/22 09:45:00  AM,9.472,,,,,
273,07/03/22 10:00:00  AM,10.063,,,,,
274,07/03/22 10:15:00  AM,10.748,,,,,
275,07/03/22 10:30:00  AM,11.528,,,,,
276,07/03/22 10:45:00  AM,11.722,,,,,
277,07/03/22 11:00:00  AM,11.819,,,,,
278,07/03/22 11:15:00  AM,11.916,,,,,
279,07/03/22 11:30:00  AM,11.819,,,,,
280,07/03/22 11:45:00  AM,11.528,,,,,
281,07/03/22 12:00:00  PM,11.236,,,,,
282,07/03/22 12:15:00  PM,11.236,,,,,
283,07/03/22 12:30:00  PM,11.139,,,,,
284,07/03/22 12:45:00  PM,11.139,,,,,
285,07/03/22 01:00:00  PM,11.139,,,,,
286,07/03/22 01:15:00  PM,10.944,,,,,
287,07/03/22 01:30:00  PM,10.357,,,,,
288,07/03/22 01:45:00  PM,10.161,,,,,
289,07/03/22 02:00:00  PM,9.373,,,,,
290,07/03/22 02:15:00  PM,9.669,,,,,
291,07/03/22 02:30:00  PM,8.879,,,,,
292,07/03/22 02:45:00  PM,8.282,,,,,
293,07/03/22 03:00:00  PM,8.382,,,,,
294,07/03/22 03:15:00  PM,8.382,,,,,
295,07/03/22 03:30:00  PM,8.282,,,,,
296,07/03/22 03:45:00  PM,7.079,,,,,
297,07/03/22 04:00:00  PM,7.079,,,,,
298,07/03/22 04:15:00  PM,7.782,,,,,
299,07/03/22 04:30:00  PM,6.978,,,,,
300,07/03/22 04:45:00  PM,6.978,,,,,
301,07/03/22 05:00:00  PM,7.582,,,,,
302,07/03/22 05:15:00  PM,7.983,,,,,
303,07/03/22 05:30:00  PM,7.381,,,,,
304,07/03/22 05:45:00  PM,7.381,,,,,
305,07/03/22 06:00:00  PM,7.280,,,,,
306,07/03/22 06:15:00  PM,6.370,,,,,
307,07/03/22 06:30:00  PM,6.064,,,,,
308,07/03/22 06:45:00  PM,6.775,,,,,
309,07/03/22 07:00:00  PM,7.079,,,,,
310,07/03/22 07:15:00  PM,6.877,,,,,
311,07/03/22 07:30:00  PM,6.573,,,,,
312,07/03/22 07:45:00  PM,6.166,,,,,
313,07/03/22 08:00:00  PM,5.757,,,,,
314,07/03/22 08:15:00  PM,5.450,,,,,
315,07/03/22 08:30:00  PM,5.552,,,,,
316,07/03/22 08:45:00  PM,5.552,,,,,
317,07/03/22 09:00:00  PM,5.552,,,,,
318,07/03/22 09:15:00  PM,5.347,,,,,
319,07/03/22 09:30:00  PM,4.623,,,,,
320,07/03/22 09:45:00  PM,4.311,,,,,
321,07/03/22 10:00:00  PM,3.788,,,,,
322,07/03/22 10:15:00  PM,3.893,,,,,
323,07/03/22 10:30:00  PM,3.683,,,,,
324,07/03/22 10:45:00  PM,3.367,,,,,
325,07/03/22 11:00:00  PM,3.578,,,,,
326,07/03/22 11:15:00  PM,3.472,,,,,
327,07/03/22 11:30:00  PM,3.261,,,,,
328,07/03/22 11:45:00  PM,3.683,,,,,
329,07/04/22 12:00:00  AM,3.893,,,,,
330,07/04/22 12:15:00  AM,3.788,,,,,
331,07/04/22 12:30:00  AM,3.893,,,,,
332,07/04/22 12:45:00  AM,3.893,,,,,
333,07/04/22 01:00:00  AM,3.893,,,,,
334,07/04/22 01:15:00  AM,4.311,,,,,
335,07/04/22 01:30:00  AM,4.415,,,,,
336,07/04/22 01:45:00  AM,4.415,,,,,
337,07/04/22 02:00:00  AM,4.934,,,,,
338,07/04/22 02:15:00  AM,5.860,,,,,
339,07/04/22 02:30:00  AM,6.166,,,,,
340,07/04/22 02:45:00  AM,5.962,,,,,
341,07/04/22 03:00:00  AM,6.064,,,,,
342,07/04/22 03:15:00  AM,5.860,,,,,
343,07/04/22 03:30:00  AM,5.962,,,,,
344,07/04/22 03:45:00  AM,6.268,,,,,
345,07/04/22 04:00:00  AM,6.166,,,,,
346,07/04/22 04:15:00  AM,5.962,,,,,
347,07/04/22 04:30:00  AM,6.573,,,,,
348,07/04/22 04:45:00  AM,6.775,,,,,
349,07/04/22 05:00:00  AM,7.079,,,,,
350,07/04/22 05:15:00  AM,7.079,,,,,
351,07/04/22 05:30:00  AM,7.582,,,,,
352,07/04/22 05:45:00  AM,7.481,,,,,
353,07/04/22 06:00:00  AM,7.782,,,,,
354,07/04/22 06:15:00  AM,7.882,,,,,
355,07/04/22 06:30:00  AM,8.182,,,,,
356,07/04/22 06:45:00  AM,8.680,,,,,
357,07/04/22 07:00:00  AM,9.275,,,,,
358,07/04/22 07:15:00  AM,9.472,,,,,
359,07/04/22 07:30:00  AM,10.259,,,,,
360,07/04/22 07:45:00  AM,11.722,,,,,
361,07/04/22 08:00:00  AM,12.110,,,,,
362,07/04/22 08:15:00  AM,12.690,,,,,
363,07/04/22 08:30:00  AM,13.654,,,,,
364,07/04/22 08:45:00  AM,14.900,,,,,
365,07/04/22 09:00:00  AM,15.855,,,,,
366,07/04/22 09:15:00  AM,17.094,,,,,
367,07/04/22 09:30:00  AM,17.950,,,,,
368,07/04/22 09:45:00  AM,18.806,,,,,
369,07/04/22 10:00:00  AM,19.758,,,,,
370,07/04/22 10:15:00  AM,20.615,,,,,
371,07/04/22 10:30:00  AM,23.581,,,,,
372,07/04/22 10:45:00  AM,24.641,,,,,
373,07/04/22 11:00:00  AM,24.448,,,,,
374,07/04/22 11:15:00  AM,25.902,,,,,
375,07/04/22 11:30:00  AM,26.195,,,,,
376,07/04/22 11:45:00  AM,27.075,,,,,
377,07/04/22 12:00:00  PM,27.468,,,,,
378,07/04/22 12:15:00  PM,28.060,,,,,
379,07/04/22 12:30:00  PM,28.853,,,,,
380,07/04/22 12:45:00  PM,29.452,,,,,
381,07/04/22 01:00:00  PM,29.452,,,,,
382,07/04/22 01:15:00  PM,29.352,,,,,
383,07/04/22 01:30:00  PM,29.552,,,,,
384,07/04/22 01:45:00  PM,29.853,,,,,
385,07/04/22 02:00:00  PM,29.352,,,,,
386,07/04/22 02:15:00  PM,29.652,,,,,
387,07/04/22 02:30:00  PM,29.252,,,,,
388,07/04/22 02:45:00  PM,29.152,,,,,
389,07/04/22 03:00:00  PM,29.053,,,,,
390,07/04/22 03:15:00  PM,28.754,,,,,
391,07/04/22 03:30:00  PM,29.053,,,,,
392,07/04/22 03:45:00  PM,29.252,,,,,
393,07/04/22 04:00:00  PM,28.258,,,,,
394,07/04/22 04:15:00  PM,27.173,,,,,
395,07/04/22 04:30:00  PM,26.390,,,,,
396,07/04/22 04:45:00  PM,25.513,,,,,
397,07/04/22 05:00:00  PM,23.966,,,,,
398,07/04/22 05:15:00  PM,23.388,,,,,
399,07/04/22 05:30:00  PM,22.142,,,,,
400,07/04/22 05:45:00  PM,21.187,,,,,
401,07/04/22 06:00:00  PM,20.805,,,,,
402,07/04/22 06:15:00  PM,19.758,,,,,
403,07/04/22 06:30:00  PM,19.377,,,,,
404,07/04/22 06:45:00  PM,18.806,,,,,
405,07/04/22 07:00:00  PM,18.331,,,,,
406,07/04/22 07:15:00  PM,17.475,,,,,
407,07/04/22 07:30:00  PM,14.900,,,,,
408,07/04/22 07:45:00  PM,13.076,,,,,
409,07/04/22 08:00:00  PM,10.553,,,,,
410,07/04/22 08:15:00  PM,8.282,,,,,
411,07/04/22 08:30:00  PM,7.882,,,,,
412,07/04/22 08:45:00  PM,9.275,,,,,
413,07/04/22 09:00:00  PM,10.161,,,,,
414,07/04/22 09:15:00  PM,8.779,,,,,
415,07/04/22 09:30:00  PM,7.882,,,,,
416,07/04/22 09:45:00  PM,6.877,,,,,
417,07/04/22 10:00:00  PM,6.775,,,,,
418,07/04/22 10:15:00  PM,7.983,,,,,
419,07/04/22 10:30:00  PM,7.079,,,,,
420,07/04/22 10:45:00  PM,7.079,,,,,
421,07/04/22 11:00:00  PM,7.481,,,,,
422,07/04/22 11:15:00  PM,9.077,,,,,
423,07/04/22 11:30:00  PM,9.669,,,,,
424,07/04/22 11:45:00  PM,10.357,,,,,
425,07/05/22 12:00:00  AM,10.259,,,,,
426,07/05/22 12:15:00  AM,10.063,,,,,
427,07/05/22 12:30:00  AM,10.553,,,,,
428,07/05/22 12:45:00  AM,10.553,,,,,
429,07/05/22 01:00:00  AM,10.161,,,,,
430,07/05/22 01:15:00  AM,9.275,,,,,
431,07/05/22 01:30:00  AM,8.978,,,,,
432,07/05/22 01:45:00  AM,9.077,,,,,
433,07/05/22 02:00:00  AM,8.282,,,,,
434,07/05/22 02:15:00  AM,9.768,,,,,
435,07/05/22 02:30:00  AM,10.944,,,,,
436,07/05/22 02:45:00  AM,11.528,,,,,
437,07/05/22 03:00:00  AM,12.304,,,,,
438,07/05/22 03:15:00  AM,13.076,,,,,
439,07/05/22 03:30:00  AM,13.269,,,,,
440,07/05/22 03:45:00  AM,13.365,,,,,
441,07/05/22 04:00:00  AM,14.230,,,,,
442,07/05/22 04:15:00  AM,14.517,,,,,
443,07/05/22 04:30:00  AM,12.497,,,,,
444,07/05/22 04:45:00  AM,11.236,,,,,
445,07/05/22 05:00:00  AM,11.334,,,,,
446,07/05/22 05:15:00  AM,12.980,,,,,
447,07/05/22 05:30:00  AM,13.750,,,,,
448,07/05/22 05:45:00  AM,14.325,,,,,
449,07/05/22 06:00:00  AM,15.855,,,,,
450,07/05/22 06:15:00  AM,16.332,,,,,
451,07/05/22 06:30:00  AM,16.046,,,,,
452,07/05/22 06:45:00  AM,17.379,,,,,
453,07/05/22 07:00:00  AM,17.284,,,,,
454,07/05/22 07:15:00  AM,17.475,,,,,
455,07/05/22 07:30:00  AM,17.665,,,,,
456,07/05/22 07:45:00  AM,17.855,,,,,
457,07/05/22 08:00:00  AM,17.855,,,,,
458,07/05/22 08:15:00  AM,18.901,,,,,
459,07/05/22 08:30:00  AM,19.948,,,,,
460,07/05/22 08:45:00  AM,20.234,,,,,
461,07/05/22 09:00:00  AM,21.378,,,,,
462,07/05/22 09:15:00  AM,23.388,,,,,
463,07/05/22 09:30:00  AM,24.545,,,,,
464,07/05/22 09:45:00  AM,25.416,,,,,
465,07/05/22 10:00:00  AM,26.195,,,,,
466,07/05/22 10:15:00  AM,26.195,,,,,
467,07/05/22 10:30:00  AM,26.488,,,,,
468,07/05/22 10:45:00  AM,27.665,,,,,
469,07/05/22 11:00:00  AM,27.961,,,,,
470,07/05/22 11:15:00  AM,28.754,,,,,
471,07/05/22 11:30:00  AM,28.258,,,,,
472,07/05/22 11:45:00  AM,28.655,,,,,
473,07/05/22 12:00:00  PM,26.781,,,,,
474,07/05/22 12:15:00  PM,26.977,,,,,
475,07/05/22 12:30:00  PM,29.152,,,,,
476,07/05/22 12:45:00  PM,30.659,,,,,
477,07/05/22 01:00:00  PM,30.558,,,,,
478,07/05/22 01:15:00  PM,30.760,,,,,
479,07/05/22 01:30:00  PM,29.552,,,,,
480,07/05/22 01:45:00  PM,30.054,,,,,
481,07/05/22 02:00:00  PM,29.953,,,,,
482,07/05/22 02:15:00  PM,30.356,,,,,
483,07/05/22 02:30:00  PM,30.356,,,,,
484,07/05/22 02:45:00  PM,31.983,,,,,
485,07/05/22 03:00:00  PM,30.862,,,,,
486,07/05/22 03:15:00  PM,30.255,,,,,
487,07/05/22 03:30:00  PM,30.356,,,,,
488,07/05/22 03:45:00  PM,23.869,,,,,
489,07/05/22 04:00:00  PM,19.567,,,,,
490,07/05/22 04:15:00  PM,19.092,,,,,
491,07/05/22 04:30:00  PM,18.521,,,,,
492,07/05/22 04:45:00  PM,20.901,,,,,
493,07/05/22 05:00:00  PM,19.377,,,,,
494,07/05/22 05:15:00  PM,16.999,,,,,
495,07/05/22 05:30:00  PM,15.664,,,,,
496,07/05/22 05:45:00  PM,14.996,,,,,
497,07/05/22 06:00:00  PM,13.365,,,,,
498,07/05/22 06:15:00  PM,13.269,,,,,
499,07/05/22 06:30:00  PM,12.690,,,,,
500,07/05/22 06:45:00  PM,12.304,,,,,
501,07/05/22 07:00:00  PM,11.334,,,,,
502,07/05/22 07:15:00  PM,10.455,,,,,
503,07/05/22 07:30:00  PM,9.472,,,,,
504,07/05/22 07:45:00  PM,8.779,,,,,
505,07/05/22 08:00:00  PM,8.182,,,,,
506,07/05/22 08:15:00  PM,8.282,,,,,
507,07/05/22 08:30:00  PM,7.983,,,,,
508,07/05/22 08:45:00  PM,7.582,,,,,
509,07/05/22 09:00:00  PM,7.381,,,,,
510,07/05/22 09:15:00  PM,7.179,,,,,
511,07/05/22 09:30:00  PM,6.775,,,,,
512,07/05/22 09:45:00  PM,7.079,,,,,
513,07/05/22 10:00:00  PM,6.370,,,,,
514,07/05/22 10:15:00  PM,5.962,,,,,
515,07/05/22 10:30:00  PM,5.860,,,,,
516,07/05/22 10:45:00  PM,5.757,,,,,
517,07/05/22 11:00:00  PM,6.573,,,,,
518,07/05/22 11:15:00  PM,6.978,,,,,
519,07/05/22 11:30:00  PM,6.064,,,,,
