"Plot Title: MEAD_12T_CO2"
"#","Date Time, GMT-07:00","Temp, °C (LGR S/N: 20547744, SEN S/N: 20547744, LBL: 10cm_air_CO2)","Good Battery (LGR S/N: 20547744)","Coupler Attached (LGR S/N: 20547744)","Host Connected (LGR S/N: 20547744)","Stopped (LGR S/N: 20547744)","End Of File (LGR S/N: 20547744)"
496,07/10/22 09:30:00  PM,12.304,,,,,
497,07/10/22 10:00:00  PM,11.431,,,,,
498,07/10/22 10:30:00  PM,9.866,,,,,
499,07/10/22 11:00:00  PM,10.063,,,,,
500,07/10/22 11:30:00  PM,9.373,,,,,
501,07/11/22 12:00:00  AM,8.382,,,,,
502,07/11/22 12:30:00  AM,7.280,,,,,
503,07/11/22 01:00:00  AM,8.581,,,,,
504,07/11/22 01:30:00  AM,8.481,,,,,
505,07/11/22 02:00:00  AM,9.176,,,,,
506,07/11/22 02:30:00  AM,11.236,,,,,
507,07/11/22 03:00:00  AM,9.965,,,,,
508,07/11/22 03:30:00  AM,10.651,,,,,
509,07/11/22 04:00:00  AM,11.334,,,,,
510,07/11/22 04:30:00  AM,11.625,,,,,
511,07/11/22 05:00:00  AM,12.690,,,,,
512,07/11/22 05:30:00  AM,12.497,,,,,
513,07/11/22 06:00:00  AM,12.110,,,,,
514,07/11/22 06:30:00  AM,10.651,,,,,
515,07/11/22 07:00:00  AM,11.819,,,,,
516,07/11/22 07:30:00  AM,14.517,,,,,
517,07/11/22 08:00:00  AM,15.951,,,,,
