"Plot Title: DRYAS_14C"
"#","Date Time, GMT-07:00","Temp, °C (LGR S/N: 20444010, SEN S/N: 20444010)","Coupler Attached (LGR S/N: 20444010)","Host Connected (LGR S/N: 20444010)","Stopped (LGR S/N: 20444010)","End Of File (LGR S/N: 20444010)"
163,07/05/22 08:00:00  AM,14.421,,,,
164,07/05/22 08:15:00  AM,14.038,,,,
165,07/05/22 08:30:00  AM,13.846,,,,
166,07/05/22 08:45:00  AM,13.173,,,,
167,07/05/22 09:00:00  AM,13.558,,,,
168,07/05/22 09:15:00  AM,14.038,,,,
169,07/05/22 09:30:00  AM,14.421,,,,
170,07/05/22 09:45:00  AM,14.804,,,,
171,07/05/22 10:00:00  AM,15.282,,,,
172,07/05/22 10:15:00  AM,14.230,,,,
173,07/05/22 10:30:00  AM,13.654,,,,
174,07/05/22 10:45:00  AM,14.134,,,,
175,07/05/22 11:00:00  AM,13.942,,,,
176,07/05/22 11:15:00  AM,13.942,,,,
177,07/05/22 11:30:00  AM,13.173,,,,
178,07/05/22 11:45:00  AM,13.173,,,,
179,07/05/22 12:00:00  PM,12.110,,,,
180,07/05/22 12:15:00  PM,12.594,,,,
181,07/05/22 12:30:00  PM,14.613,,,,
182,07/05/22 12:45:00  PM,14.996,,,,
183,07/05/22 01:00:00  PM,14.517,,,,
184,07/05/22 01:15:00  PM,14.613,,,,
185,07/05/22 01:30:00  PM,13.942,,,,
186,07/05/22 01:45:00  PM,13.654,,,,
187,07/05/22 02:00:00  PM,14.517,,,,
188,07/05/22 02:15:00  PM,14.517,,,,
189,07/05/22 02:30:00  PM,14.517,,,,
190,07/05/22 02:45:00  PM,14.804,,,,
191,07/05/22 03:00:00  PM,14.230,,,,
192,07/05/22 03:15:00  PM,14.804,,,,
193,07/05/22 03:30:00  PM,14.517,,,,
194,07/05/22 03:45:00  PM,12.304,,,,
195,07/05/22 04:00:00  PM,10.651,,,,
196,07/05/22 04:15:00  PM,11.236,,,,
197,07/05/22 04:30:00  PM,11.722,,,,
198,07/05/22 04:45:00  PM,13.461,,,,
199,07/05/22 05:00:00  PM,11.916,,,,
200,07/05/22 05:15:00  PM,11.139,,,,
201,07/05/22 05:30:00  PM,10.259,,,,
202,07/05/22 05:45:00  PM,10.944,,,,
203,07/05/22 06:00:00  PM,11.236,,,,
204,07/05/22 06:15:00  PM,10.553,,,,
205,07/05/22 06:30:00  PM,9.866,,,,
206,07/05/22 06:45:00  PM,9.275,,,,
207,07/05/22 07:00:00  PM,8.779,,,,
208,07/05/22 07:15:00  PM,8.481,,,,
209,07/05/22 07:30:00  PM,7.381,,,,
210,07/05/22 07:45:00  PM,6.674,,,,
211,07/05/22 08:00:00  PM,7.582,,,,
212,07/05/22 08:15:00  PM,7.983,,,,
213,07/05/22 08:30:00  PM,7.179,,,,
214,07/05/22 08:45:00  PM,6.471,,,,
215,07/05/22 09:00:00  PM,6.573,,,,
